date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:11:34	138885/138885	---MCZ	200	added ('OK')	text/javascript	date:Fri,%2014%20Mar%202025%2002:05:16%20GMT	https://www.jbhifi.com.au/cdn/shop/t/373/assets/bundle.a7c41a2b0297d2e3.js?v=16572138429829711861741914674	C:/My%20Web%20Sites/JB%20Hi-Fi/www.jbhifi.com.au/cdn/shop/t/373/assets/bundle.a7c41a2b0297d2e3a531.js	(from https://www.jbhifi.com.au/)
12:11:35	633/633	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2020%20Mar%202025%2006:26:34%20GMT	http://www.jbhifi.com.au/cdn/shop/t/373/assets/bundle.445073b9d9487257.js?v=108341532765979267691741914585	C:/My%20Web%20Sites/JB%20Hi-Fi/www.jbhifi.com.au/cdn/shop/t/373/assets/bundle.445073b9d94872570778.js	(from https://www.jbhifi.com.au/)
12:11:36	26717/26717	---MCZ	200	added ('OK')	text/javascript	date:Fri,%2014%20Mar%202025%2002:05:16%20GMT	https://www.jbhifi.com.au/cdn/shop/t/373/assets/bundle.445073b9d9487257.js?v=108341532765979267691741914585	C:/My%20Web%20Sites/JB%20Hi-Fi/www.jbhifi.com.au/cdn/shop/t/373/assets/bundle.445073b9d94872570778.js	(from https://www.jbhifi.com.au/)
12:11:36	633/633	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2020%20Mar%202025%2006:26:36%20GMT	http://www.jbhifi.com.au/cdn/shop/t/373/assets/bundle.242e41b58060dbd2.js?v=105754045402680466621741914884	C:/My%20Web%20Sites/JB%20Hi-Fi/www.jbhifi.com.au/cdn/shop/t/373/assets/bundle.242e41b58060dbd29f65.js	(from https://www.jbhifi.com.au/)
12:11:36	15702/15702	---MCZ	200	added ('OK')	text/javascript	date:Fri,%2014%20Mar%202025%2002:05:16%20GMT	https://www.jbhifi.com.au/cdn/shop/t/373/assets/bundle.242e41b58060dbd2.js?v=105754045402680466621741914884	C:/My%20Web%20Sites/JB%20Hi-Fi/www.jbhifi.com.au/cdn/shop/t/373/assets/bundle.242e41b58060dbd29f65.js	(from https://www.jbhifi.com.au/)
12:11:37	633/633	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2020%20Mar%202025%2006:26:36%20GMT	http://www.jbhifi.com.au/cdn/shop/t/373/assets/bundle.424e0369393e0efa.js?v=33718886154454870361741915039	C:/My%20Web%20Sites/JB%20Hi-Fi/www.jbhifi.com.au/cdn/shop/t/373/assets/bundle.424e0369393e0efaf287.js	(from https://www.jbhifi.com.au/)
12:11:37	22992/22992	---MCZ	200	added ('OK')	text/javascript	date:Fri,%2014%20Mar%202025%2002:05:16%20GMT	https://www.jbhifi.com.au/cdn/shop/t/373/assets/bundle.424e0369393e0efa.js?v=33718886154454870361741915039	C:/My%20Web%20Sites/JB%20Hi-Fi/www.jbhifi.com.au/cdn/shop/t/373/assets/bundle.424e0369393e0efaf287.js	(from https://www.jbhifi.com.au/)
12:11:37	633/633	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2020%20Mar%202025%2006:26:37%20GMT	http://www.jbhifi.com.au/cdn/shop/t/373/assets/bundle.template.index.js?v=169054404633160724951741915085	C:/My%20Web%20Sites/JB%20Hi-Fi/www.jbhifi.com.au/cdn/shop/t/373/assets/bundle.template.index9dc5.js	(from https://www.jbhifi.com.au/)
12:11:37	1673/1673	---MCZ	200	added ('OK')	text/javascript	date:Fri,%2014%20Mar%202025%2002:05:16%20GMT	https://www.jbhifi.com.au/cdn/shop/t/373/assets/bundle.template.index.js?v=169054404633160724951741915085	C:/My%20Web%20Sites/JB%20Hi-Fi/www.jbhifi.com.au/cdn/shop/t/373/assets/bundle.template.index9dc5.js	(from https://www.jbhifi.com.au/)
12:11:38	7370/7370	---M-Z	200	added ('OK')	application/javascript	etag:W/%223a6828ffbeb48d525e0fb22454d3b20c%22	https://static.klaviyo.com/onsite/js/klaviyo.js?company_id=LQzntR	C:/My%20Web%20Sites/JB%20Hi-Fi/static.klaviyo.com/onsite/js/klaviyo214e.js	(from https://www.jbhifi.com.au/)
